Date	Ticker	Change %	Stock Exchange
2026-06-18	BRAI	-20.926	nasdaq stocks
2026-06-18	RGC	-16.701	nasdaq stocks
2026-06-18	ICCM	-16.436	nasdaq stocks
2026-06-18	LILAP	-15.943	nasdaq stocks
2026-06-18	HURN	-14.627	nasdaq stocks
2026-06-18	RUM	-13.593	nasdaq stocks
2026-06-18	ROMA	-13.297	nasdaq stocks
2026-06-18	AXTI	-12.632	nasdaq stocks
2026-06-18	TNGX	-11.927	nasdaq stocks
2026-06-18	IMMX	-11.895	nasdaq stocks
2026-06-18	BTQ	-10.77	nasdaq stocks
2026-06-18	STI	-10.421	nasdaq stocks
2026-06-18	ENRD	-9.867	nasdaq stocks
2026-06-18	MGRT	-9.792	nasdaq stocks
2026-06-18	QTTB	-9.506	nasdaq stocks
2026-06-18	TSAT	-9.236	nasdaq stocks
2026-06-18	LNSR	-9.048	nasdaq stocks
2026-06-18	ADV	-8.98	nasdaq stocks
2026-06-18	EXOD	-8.926	nysemkt stocks
2026-06-18	XE	-8.741	nasdaq stocks
2026-06-18	AMPG	-8.563	nasdaq stocks
2026-06-18	AVEX	-8.5	nyse stocks
2026-06-18	TXXH	-8.498	nasdaq stocks
2026-06-18	INOD	-8.486	nasdaq stocks
2026-06-18	AKTX	-8.319	nasdaq stocks
2026-06-18	SLSR	-8.222	nysemkt stocks
2026-06-18	RVI	-8.211	nyse stocks
2026-06-18	TMCR	-8.009	nasdaq stocks
2026-06-18	HAWK	-7.958	nyse stocks
2026-06-18	AIXI	-7.918	nasdaq stocks
2026-06-18	SLMT	-7.717	nasdaq stocks
2026-06-18	BMM	-7.681	nasdaq stocks
2026-06-18	BIRD	-7.621	nasdaq stocks
2026-06-18	BOT	-7.588	nasdaq stocks
2026-06-18	UUUU	-7.478	nysemkt stocks
2026-06-18	ULH	-7.477	nasdaq stocks
2026-06-18	DBVT	-7.439	nasdaq stocks
2026-06-18	AAOI	-7.329	nasdaq stocks
2026-06-18	AADX	-7.245	nyse stocks
